Name,Brand,Price,Old_price,Discount,Category,Model,Gender,Color,Material,Savings,Brand_Price_Diff,Price_bucket,Is_Premium_Brand
Puma Bmw Mms XRay Speed,Puma,29990.0,54990.0,45.0,Puma кроссовки,BMW MMS X-Ray Speed,Мужчины,Белый,кожа/Текстиль,25000.0,0.0,Mid-range,1
Puma Ferrari Roma Via,Puma,39990.0,59990.0,33.0,Puma кроссовки,Ferrari Roma Via,Мужчины,Белый,кожа,20000.0,10000.0,Premium,1
Puma Scend Pro,Puma,39990.0,50990.0,22.0,Puma обувь для бега,Scend Pro,Мужчины,Серый,Текстиль,11000.0,10000.0,Premium,1
Puma Puma Rebound V6 Mid Jr,Puma,29990.0,42990.0,30.0,Puma кроссовки,Puma Rebound V6 Mid Jr,Мальчик,Белый,кожа,13000.0,0.0,Mid-range,1
Puma Graviton,Puma,39990.0,48990.0,18.0,Puma кроссовки,Graviton,Мужчины,Синий,Текстиль,9000.0,10000.0,Premium,1
adidas Advantage Base 20 J,adidas,19990.0,29990.0,33.0,adidas кроссовки,ADVANTAGE BASE 2.0 J,Женщины,Черный,кожа,10000.0,-12000.0,Mid-range,0
adidas F50 Club In,adidas,34990.0,39990.0,13.0,adidas обувь,F50 CLUB IN,Мужчины,Белый,кожа,5000.0,3000.0,Premium,0
Kinetix Luna B 4Pr,Kinetix,13990.0,19990.0,30.0,Kinetix кроссовки,LUNA B 4PR,Девочка,Белый,кожа,6000.0,1000.0,Budget,0
adidas Terrex Eastrail 2 M,adidas,59990.0,89990.0,33.0,adidas обувь,TERREX EASTRAIL 2 M,Мужчины,Черный,Текстиль,30000.0,28000.0,Luxury,0
Puma Rebound V6 Dragon Year,Puma,24990.0,37990.0,34.0,Puma кроссовки,Rebound v6 Dragon Year,Мужчины,Белый,кожа,13000.0,-5000.0,Mid-range,1
adidas Response Runner U,adidas,27990.0,32990.0,15.0,adidas обувь для бега,RESPONSE RUNNER U,Мужчины,Серый,Текстиль,5000.0,-4000.0,Mid-range,0
Proshot Leon 4Pr  017,PROSHOT,14390.0,17990.0,20.0,PROSHOT обувь,LEON 4PR,Унисекс,Серый,кожа,3600.0,1400.0,Budget,0
Lumberjack Army Atki 1Pr  002,Lumberjack,1690.0,2790.0,39.0,Lumberjack шарф,ARMY ATKI 1PR,Мужчины,Серый,Текстиль,1100.0,-12300.0,Budget,0
Lumberjack Data Hi Wmn Krk 1Pr,Lumberjack,15990.0,30990.0,48.0,Lumberjack обувь,DATA HI WMN KRK 1PR,Женщины,Черный,Текстиль,15000.0,2000.0,Mid-range,0
Puma 19315501,Puma,19990.0,38990.0,49.0,Puma обувь для бега,19315501,Женщины,Черный,Текстиль,19000.0,-10000.0,Mid-range,1
Reebok Reebok Royal Comple,Reebok,17990.0,37990.0,53.0,Reebok кроссовки,REEBOK ROYAL COMPLE,Унисекс,Белый,кожа,20000.0,-7600.0,Mid-range,1
Us Polo Assn Penelope 3Fx,U.S. Polo Assn.,9990.0,16990.0,41.0,U.S. Polo Assn. кроссовки,PENELOPE 3FX,Мужчины,Синий,Текстиль,7000.0,-10000.0,Budget,0
adidas Terrex Ax4,adidas,80990.0,89990.0,10.0,adidas обувь,TERREX AX4,Мужчины,Черный,Текстиль,9000.0,49000.0,Luxury,0
adidas Runfalcon,adidas,17990.0,36990.0,51.0,adidas кроссовки,RUNFALCON,Мужчины,Черный,Текстиль,19000.0,-14000.0,Mid-range,0
Lumberjack Wb Anna 16 4Pr,Lumberjack,8990.0,9990.0,10.0,Lumberjack свитшот,WB ANNA 16 4PR,Женщины,Бежевый,Полиамид,1000.0,-5000.0,Budget,0
Oxide Yde92145 4Pr  013,Oxide,14990.0,16990.0,12.0,Oxide повседневная обувь,YDE92-145 4PR,Мужчины,Коричневый,кожа,2000.0,-3000.0,Budget,0
Lumberjack Migena 3Pr,Lumberjack,19990.0,39990.0,50.0,Lumberjack ботинки,MIGENA 3PR,Женщины,Черный,Кожа,20000.0,6000.0,Mid-range,0
adidas Hoops 30 K,adidas,24990.0,36990.0,32.0,adidas кроссовки,HOOPS 3.0 K,Мальчик,Черный,кожа,12000.0,-7000.0,Mid-range,0
Lumberjack Wb AnnaYd 16 4Pr  003,Lumberjack,8990.0,9990.0,10.0,Lumberjack свитшот,WB ANNA-YD 16 4PR,Женщины,Розовый,Полиамид,1000.0,-5000.0,Budget,0
Lumberjack HarmonyInt 4Pr,Lumberjack,14990.0,16990.0,12.0,Lumberjack обувь для бега,HARMONY-INT 4PR,Девочка,Бежевый,кожа,2000.0,1000.0,Budget,0
